file,severity,type,desc
_normalized/language/glossary/language-glossary-glossary-5.json,HIGH,MANUAL_REVIEW_REQUIRED,Item marked as manual_review_required
_normalized/language/glossary/language-glossary-glossary-6.json,HIGH,MANUAL_REVIEW_REQUIRED,Item marked as manual_review_required
_normalized/language/glossary/language-glossary-glossary-7.json,HIGH,MANUAL_REVIEW_REQUIRED,Item marked as manual_review_required
_normalized/language/glossary/language-glossary-glossary-8.json,HIGH,MANUAL_REVIEW_REQUIRED,Item marked as manual_review_required
_normalized/language/glossary/language-glossary-glossary-9.json,HIGH,MANUAL_REVIEW_REQUIRED,Item marked as manual_review_required
_normalized/language/resources/language-resource-resource-1.json,HIGH,MANUAL_REVIEW_REQUIRED,Item marked as manual_review_required
_normalized/language/resources/language-resource-resource-10.json,HIGH,MANUAL_REVIEW_REQUIRED,Item marked as manual_review_required
_normalized/language/resources/language-resource-resource-2.json,HIGH,MANUAL_REVIEW_REQUIRED,Item marked as manual_review_required
_normalized/language/resources/language-resource-resource-3.json,HIGH,MANUAL_REVIEW_REQUIRED,Item marked as manual_review_required
_normalized/language/resources/language-resource-resource-4.json,HIGH,MANUAL_REVIEW_REQUIRED,Item marked as manual_review_required
_normalized/language/resources/language-resource-resource-5.json,HIGH,MANUAL_REVIEW_REQUIRED,Item marked as manual_review_required
_normalized/language/resources/language-resource-resource-6.json,HIGH,MANUAL_REVIEW_REQUIRED,Item marked as manual_review_required
_normalized/language/resources/language-resource-resource-7.json,HIGH,MANUAL_REVIEW_REQUIRED,Item marked as manual_review_required
_normalized/language/resources/language-resource-resource-8.json,HIGH,MANUAL_REVIEW_REQUIRED,Item marked as manual_review_required
_normalized/language/resources/language-resource-resource-9.json,HIGH,MANUAL_REVIEW_REQUIRED,Item marked as manual_review_required
_normalized/tools-hub/glossary/tools-hub-glossary-ai-tools-2.json,HIGH,MANUAL_REVIEW_REQUIRED,Item marked as manual_review_required
_normalized/tools-hub/glossary/tools-hub-glossary-automation-tools.json,HIGH,MANUAL_REVIEW_REQUIRED,Item marked as manual_review_required
